No,Date,Word,Type,Mean
1,02월 27일,occupied,adj,사용중인
2,02월 27일,pave,v,포장하다
3,02월 27일,stroll,v,"거닐다, 산책하다"
4,02월 26일,outrageous,adj,"난폭한, 악의에 찬"
5,02월 26일,confiscate,v,"압수하다, 몰수하다"
6,02월 26일,deem,v,"생각하다, 판단하다"
7,02월 26일,adversary,v,"적수, 상대"
8,02월 26일,flounder,v,허둥대다
9,02월 26일,crackdown,n,단호한 단속
10,02월 26일,epicenter,n,진원지
11,02월 26일,robust,adj,"튼튼한, 강건한"
12,02월 26일,thrive,v,"(사람/상업 등이) 번성하다, 번창하다"
13,02월 26일,audit,n,회계 감사
14,02월 26일,discreet,adj,"신중한, 조심스러운"
15,02월 26일,setback,n,"좌절, 차질"
16,02월 26일,bilateral,adj,"쌍방의, 양자의"
17,02월 26일,deter,v,~를 그만 두게 하다
18,02월 26일,mandate,n,"권한, 위임 통치권"
19,02월 26일,mandate,adj,"위조의, 모조의"
20,02월 26일,bribery,n,"뇌물 수수, 매수"
21,02월 26일,debris,n,"파편, 잔해"
22,02월 27일,bulletin,n,"뉴스 단신, 공고"
23,02월 27일,business card,n,명함
24,02월 27일,podium,n,"연단, 강연대"
25,02월 27일,footrest,n,발판
26,02월 27일,power outlet,n,전기 콘센트
27,02월 27일,crate,n,나무 상자
28,02월 27일,scaffolding,n,비계 (공사장 임시 발판)
29,02월 27일,wheelbarrow,n,외바퀴 손수레
30,02월 27일,shed,n,"헛간, 창고"
31,02월 27일,pedestrian,n,보행자
32,02월 27일,rear window,n,자동차의 뒷 창문
33,02월 27일,garage,n,"차고, 정비소"
34,02월 27일,carton,n,판지 상자
35,02월 27일,wagon,n,마차
36,02월 27일,barbor,n,항구
37,02월 27일,utensil,n,요리 기구
38,02월 27일,corridor,n,복도
39,02월 27일,windowsill,n,창문턱
40,02월 27일,mop,n,대걸레
41,02월 27일,attic,n,다락방
42,02월 27일,fullfill,v,충족하다
43,02월 27일,soar,v,급증하다
44,02월 27일,sore,adj,"아픈, 따가운"
45,02월 27일,consider,v,고려하다 + ing
46,02월 27일,accompany,v,동행하다
47,02월 27일,undergo,v,고난따위를 받다
48,02월 27일,clarify,v,분명히 하다
49,02월 27일,obstruct,v,방해하다
50,02월 27일,dwindle,v,"줄다, 축소되다"
51,02월 27일,solicit,v,"요청하다, 간청하다"
52,02월 27일,alleviate,v,완화하다
53,02월 27일,omit,v,생략하다
54,02월 27일,incur,v,"초래하다, 입다"
55,02월 27일,maneuver,v,"움직이다, 조종하다"
56,02월 27일,entail,v,필요로 하다
57,02월 27일,retain,v,유지하다
58,03월 01일,go over,v,검토하다
59,03월 01일,committee,n,위원회
